Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
82077000	Interchangeable tools for milling	Turkey	PCS	2000	1853	346
82077000	Interchangeable tools for milling	United States	PCS	10	65	12
82079000	Interchangeable tools for hand or machine-  ools, nes	Canada	PCS	25	883	165
82079000	Interchangeable tools for hand or machine-  ools, nes	China	PCS	6586	393	78
82079000	Interchangeable tools for hand or machine-  ools, nes	India	PCS	23998	4220	781
82079000	Interchangeable tools for hand or machine-  ools, nes	United Kingdom	PCS	30	114	21
82081000	Knives and cutting blades, for metal worki  g machines	China	PCS	47168	944	176
82081000	Knives and cutting blades, for metal worki  g machines	India	PCS	2804	520	97
82081000	Knives and cutting blades, for metal worki  g machines	United Arab Emirates	PCS	1	3	1
82082000	Knives and cutting blades, for wood workin   machines	China	PCS	26031	1210	226
82082000	Knives and cutting blades, for wood workin   machines	India	PCS	3046	1757	325
82082000	Knives and cutting blades, for wood workin   machines	Israel	PCS	10	1	0
82082000	Knives and cutting blades, for wood workin   machines	Qatar	PCS	1	4	1
82083000	Knives and cutting blades, for kitchen app  iances or for machine used by food in	Bangladesh	PCS	4	6	1
82083000	Knives and cutting blades, for kitchen app  iances or for machine used by food in	China	PCS	914	129	34
82083000	Knives and cutting blades, for kitchen app  iances or for machine used by food in	India	PCS	135	34	8
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	Canada	PCS	10	418	102
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	China	PCS	75553	3172	771
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	Germany	PCS	27	892	217
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	India	PCS	6633	1465	358
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	Italy	PCS	1	3	1
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	Taiwan, Province of China	PCS	15	39	10
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	United Kingdom	PCS	74	97	24
82089000	Knives and cutting blades, for machines or  mechanical appliances, nes	United States	PCS	1	0	0
82090000	Plates, sticks tips & the like for tools,   nmounted, of cermets	India	Kg	77	185	35
82100000	Hand-operated machanical appliances, =<10k  , used for food or drink.	China	PCS	201	62	11
82100000	Hand-operated machanical appliances, =<10k  , used for food or drink.	India	PCS	1020	129	24
82111000	Sets of assorted knives, nes  . .	China	PCS	787	32	9
82119100	Table knives with fixed blades   .	China	PCS	34469	780	190
82119100	Table knives with fixed blades   .	India	PCS	1300	20	5
82119100	Table knives with fixed blades   .	Thailand	PCS	15048	432	105
82119200	Knives with fixed blades (excl table kniv e )	China	PCS	1721	257	62
82119200	Knives with fixed blades (excl table kniv e )	Germany	PCS	1	1	0
82119200	Knives with fixed blades (excl table kniv e )	India	PCS	1992	18	4
82119200	Knives with fixed blades (excl table kniv e )	United States	PCS	1	18	5
82119300	Knives(excl with fixed blades)   .	China	PCS	127255	2412	586
82119300	Knives(excl with fixed blades)   .	India	PCS	28153	786	188
82119400	Blades for knives (excl those of 8208)   .	China	Kg	2156	513	125
82119400	Blades for knives (excl those of 8208)   .	India	Kg	1404	1027	254
82119400	Blades for knives (excl those of 8208)   .	Viet Nam	Kg	5	740	180
82119500	Knife handles of base metal   .	China	Kg	3685	907	251
82119500	Knife handles of base metal   .	India	Kg	5	1	0
82121000	Razors (non-electric)   .	China	PCS	150068	823	230
82121000	Razors (non-electric)   .	India	PCS	190052	4504	1023
82121000	Razors (non-electric)   .	Poland	PCS	89100	2112	513
82122000	Safety razor blades (incl razor blades bl a ks in strips)	China	PCS	210	3	1
82122000	Safety razor blades (incl razor blades bl a ks in strips)	Germany	PCS	57500	54885	13337
82122000	Safety razor blades (incl razor blades bl a ks in strips)	India	PCS	1119000	11349	2580
82122000	Safety razor blades (incl razor blades bl a ks in strips)	Poland	PCS	161000	93702	22770
82122000	Safety razor blades (incl razor blades bl a ks in strips)	United States	PCS	2	1	0
82130000	Scissors, tailors' shears and similar shea  s, and blades therefor	China	PCS	109305	2005	491
82130000	Scissors, tailors' shears and similar shea  s, and blades therefor	India	PCS	24206	397	115
82130000	Scissors, tailors' shears and similar shea  s, and blades therefor	Israel	PCS	4	1	0
82130000	Scissors, tailors' shears and similar shea  s, and blades therefor	Japan	PCS	1	0	0
82130000	Scissors, tailors' shears and similar shea  s, and blades therefor	United States	PCS	5	12	3
82141000	Paper knives, letter openers, erasing kniv  s, pencil sharpeners & blades therefo	Canada	PCS	1	2	0
82141000	Paper knives, letter openers, erasing kniv  s, pencil sharpeners & blades therefo	China	PCS	990747	1166	283
82141000	Paper knives, letter openers, erasing kniv  s, pencil sharpeners & blades therefo	India	PCS	159622	3835	912
82142000	Manicure or pedicure sets and instruments   incl nail files).	Australia	PCS	3	2	0
82142000	Manicure or pedicure sets and instruments   incl nail files).	China	PCS	286584	4239	1095
82142000	Manicure or pedicure sets and instruments   incl nail files).	India	PCS	219	21	7
82142000	Manicure or pedicure sets and instruments   incl nail files).	Pakistan	PCS	1	9	2
82149000	Other articles of cutlery   .	China	PCS	37615	1623	392
82149000	Other articles of cutlery   .	India	PCS	10391	33	10
82149000	Other articles of cutlery   .	United Arab Emirates	PCS	68	25	6
82151000	Sets of assorted spoons, forks, etc (one o   more plated with precious metal)	China	Kg	1298	747	182
82151000	Sets of assorted spoons, forks, etc (one o   more plated with precious metal)	India	Kg	96	33	8
82152000	Sets of assorted spoons, forks, etc (ex cl  lated with precious metal)	Australia	Kg	9	20	5
82152000	Sets of assorted spoons, forks, etc (ex cl  lated with precious metal)	China	Kg	2180	1669	336
82152000	Sets of assorted spoons, forks, etc (ex cl  lated with precious metal)	India	Kg	16	6	2
82159100	Spoons, forks or similar tableware, pla ted with precious metal	India	Kg	2088	1897	423
82159900	Spoons, forks, ladles, skimmers or simi lar tableware, nes	China	Kg	9964	2037	539
82159900	Spoons, forks, ladles, skimmers or simi lar tableware, nes	India	Kg	14220	5957	1324
82159900	Spoons, forks, ladles, skimmers or simi lar tableware, nes	Korea, Republic of	Kg	2	3	1
82159900	Spoons, forks, ladles, skimmers or simi lar tableware, nes	Thailand	Kg	571	565	137
83011000	Padlocks of base metal   .	China	DZN	46730	20118	5122
83011000	Padlocks of base metal   .	Germany	DZN	3	61	15
83011000	Padlocks of base metal   .	India	DZN	24580	12903	3060
83012000	Locks for motor vehicles of base metal   .	China	DZN	110	643	196
83012000	Locks for motor vehicles of base metal   .	India	DZN	5490	5826	1644
83012000	Locks for motor vehicles of base metal   .	Italy	DZN	0	19	6
83012000	Locks for motor vehicles of base metal   .	Japan	DZN	4	34	11
83012000	Locks for motor vehicles of base metal   .	Korea, Republic of	DZN	4	325	99
83012000	Locks for motor vehicles of base metal   .	Thailand	DZN	8	3	1
83013000	Locks for furniture of base metal   .	China	DZN	4041	642	179
83013000	Locks for furniture of base metal   .	India	DZN	3973	3206	772
83014000	Locks of base metal, nes  . .	China	DZN	19534	7098	1936
83014000	Locks of base metal, nes  . .	India	DZN	29928	28693	6981
83014000	Locks of base metal, nes  . .	Japan	DZN	1	3	1
83014000	Locks of base metal, nes  . .	United Arab Emirates	DZN	1	4	0
83014000	Locks of base metal, nes  . .	United States	DZN	0	20	5
83015000	Clasps and frames with clasps, incorporati  g locks of base metal	China	DZN	1	2	1
83016000	Parts of padlocks and locks of base metals  .	India	DZN	325	409	96
83017000	Keys presented separately of base metal   .	China	DZN	166	32	9
83017000	Keys presented separately of base metal   .	India	DZN	5130	508	123
83017000	Keys presented separately of base metal   .	Italy	DZN	5	6	1
83017000	Keys presented separately of base metal   .	Japan	DZN	13	15	4
83017000	Keys presented separately of base metal   .	Turkey	DZN	0	13	3
83021000	Hinges of base metal  . .	China	Kg	41787	12052	3302
83021000	Hinges of base metal  . .	Czech Republic	Kg	1	4	1
83021000	Hinges of base metal  . .	India	Kg	77286	24848	6111
83021000	Hinges of base metal  . .	Japan	Kg	5	2	1
83021000	Hinges of base metal  . .	Thailand	Kg	55	189	46
83022000	Castors of base metal   .	India	Kg	3211	1217	301
83023000	Mountings, fittings, etc, suitable for mot  r vehicles, of base metal, nes	China	Kg	17	30	9
83023000	Mountings, fittings, etc, suitable for mot  r vehicles, of base metal, nes	India	Kg	3070	1050	318
83023000	Mountings, fittings, etc, suitable for mot  r vehicles, of base metal, nes	South Africa	Kg	31	68	21
83023000	Mountings, fittings, etc, suitable for mot  r vehicles, of base metal, nes	United Kingdom	Kg	15	64	19
83024100	Mountings, fittings, etc, suitable for bui  dings, of base metal, nes	China	Kg	15438	6889	1776
83024100	Mountings, fittings, etc, suitable for bui  dings, of base metal, nes	India	Kg	44114	16141	4001
83024100	Mountings, fittings, etc, suitable for bui  dings, of base metal, nes	Qatar	Kg	4	2	0
83024100	Mountings, fittings, etc, suitable for bui  dings, of base metal, nes	Saudi Arabia	Kg	2	2	0
83024100	Mountings, fittings, etc, suitable for bui  dings, of base metal, nes	Thailand	Kg	6	57	14
83024200	Mountings, fittings, etc, for furniture, o   base metal, nes.	China	Kg	34012	8707	2116
83024200	Mountings, fittings, etc, for furniture, o   base metal, nes.	India	Kg	32272	10956	2680
83024200	Mountings, fittings, etc, for furniture, o   base metal, nes.	Thailand	Kg	225	108	26
83024200	Mountings, fittings, etc, for furniture, o   base metal, nes.	Viet Nam	Kg	6	32	8
83024900	Mountings, fittings, etc, for doors, stair  ases, of base metal	China	Kg	29597	6677	1634
83024900	Mountings, fittings, etc, for doors, stair  ases, of base metal	India	Kg	176516	68989	17075
83024900	Mountings, fittings, etc, for doors, stair  ases, of base metal	Morocco	Kg	3	9	2
83024900	Mountings, fittings, etc, for doors, stair  ases, of base metal	Thailand	Kg	635	1387	337
83024900	Mountings, fittings, etc, for doors, stair  ases, of base metal	United Kingdom	Kg	50	513	125
83025000	Hat-racks, hat-pegs, brackets and similar   ixtures of base metal	China	Kg	22710	5361	1303
83025000	Hat-racks, hat-pegs, brackets and similar   ixtures of base metal	India	Kg	20672	3845	992
83025000	Hat-racks, hat-pegs, brackets and similar   ixtures of base metal	Korea, Republic of	Kg	30	60	15
83025000	Hat-racks, hat-pegs, brackets and similar   ixtures of base metal	United States	Kg	1	5	1
83026000	Automatic door closers of base metal  . .	China	Kg	11195	4387	1066
83026000	Automatic door closers of base metal  . .	Germany	Kg	0	16	4
83026000	Automatic door closers of base metal  . .	India	Kg	9468	5725	1387
83026000	Automatic door closers of base metal  . .	Taiwan, Province of China	Kg	212	180	44
83030000	Armoured or reinforced safes, strong-boxes  and doors of base metal	China	Kg	538	394	118
83030000	Armoured or reinforced safes, strong-boxes  and doors of base metal	India	Kg	41162	9908	2418
83040000	Filing cabinets, card-index cabinets or  de k equipment of base metal	China	Kg	20	10	0
83040000	Filing cabinets, card-index cabinets or  de k equipment of base metal	India	Kg	41	7	4
83051000	Fittings for loose-leaf binders or files o   base metal.	China	Kg	22709	7890	1472
83051000	Fittings for loose-leaf binders or files o   base metal.	India	Kg	3500	780	145
83052000	Staples in strips, of base metal  .	China	Kg	5974	2043	379
83052000	Staples in strips, of base metal  .	India	Kg	821	149	29
83059000	Office articles like letter clips,letter c  rners,paper clips,indexing tags of ba	China	Kg	2891	517	94
83059000	Office articles like letter clips,letter c  rners,paper clips,indexing tags of ba	India	Kg	4387	945	177
83061010	Bicycle bells  .	India	Kg	2985	827	154
83061090	Other type  of bells, gongs and the like  .	China	Kg	2771	1103	268
83061090	Other type  of bells, gongs and the like  .	India	Kg	1173	613	146
83061090	Other type  of bells, gongs and the like  .	Thailand	Kg	257	102	25
83062110	Statuettes of plated with precious metal	China	Kg	5	3	1
83062110	Statuettes of plated with precious metal	India	Kg	1033	540	161
83062110	Statuettes of plated with precious metal	Thailand	Kg	58	33	10
83062120	Trophy and medals of plated with precious metal	China	Kg	1020	301	90
83062120	Trophy and medals of plated with precious metal	India	Kg	2	2	1
83062120	Trophy and medals of plated with precious metal	Japan	Kg	2	5	1
83062120	Trophy and medals of plated with precious metal	Singapore	Kg	1	10	3
83062120	Trophy and medals of plated with precious metal	United States	Kg	1	4	1
83062190	Other ornaments of plated with precious metal	Bangladesh	Kg	340	24	0
83062190	Other ornaments of plated with precious metal	China	Kg	560	134	40
83062190	Other ornaments of plated with precious metal	India	Kg	177	314	92
83062900	Other ornaments	China	Kg	49	38	0
83062910	Other statuettes	China	Kg	1357	380	112
83062910	Other statuettes	India	Kg	7828	5087	1525
83062920	Other trophy and medals	China	Kg	325	112	34
83062920	Other trophy and medals	Denmark	Kg	1	4	1
83062920	Other trophy and medals	India	Kg	1	0	0
83062920	Other trophy and medals	United Kingdom	Kg	1	7	2
83062990	Other ornaments	China	Kg	199	29	9
83062990	Other ornaments	India	Kg	150	59	17
83062990	Other ornaments	Italy	Kg	45	598	0
83062990	Other ornaments	United States	Kg	29	254	77
83063000	Photograph, picture or similar frames; mir  ors of base metal	China	Kg	2816	523	127
83063000	Photograph, picture or similar frames; mir  ors of base metal	India	Kg	4229	668	23
83063000	Photograph, picture or similar frames; mir  ors of base metal	Philippines	Kg	0	0	0
83063000	Photograph, picture or similar frames; mir  ors of base metal	United Arab Emirates	Kg	8	4	1
83071000	Flexible tubing of iron or steel  .	Germany	Kg	1	74	22
83071000	Flexible tubing of iron or steel  .	India	Kg	3471	1955	586
83071000	Flexible tubing of iron or steel  .	Japan	Kg	28	27	8
83079000	Flexible tubing of base metal (excl iron  o  steel).	India	Kg	13934	2566	555
83081000	Hooks, eyes and eyelets of base metal   .	China	Kg	17559	5455	1010
83081000	Hooks, eyes and eyelets of base metal   .	India	Kg	3287	1555	206
83081000	Hooks, eyes and eyelets of base metal   .	Korea, Republic of	Kg	1	5	1
83082000	Tubular or bifurcated rivets of base metal  .	China	Kg	221	779	145
83082000	Tubular or bifurcated rivets of base metal  .	India	Kg	75	12	2
83089000	Clasps, buckles beads andspangles of ba se  etal (incl parts)	China	Kg	31188	8669	1678
83089000	Clasps, buckles beads andspangles of ba se  etal (incl parts)	India	Kg	8166	1923	358
83089000	Clasps, buckles beads andspangles of ba se  etal (incl parts)	Myanmar	Kg	18	34	6
83089000	Clasps, buckles beads andspangles of ba se  etal (incl parts)	United States	Kg	1	0	0
83091000	Crown corks of base metal   .	China	Kg	22	25	9
83091000	Crown corks of base metal   .	India	Kg	37787	14449	5070
83091000	Crown corks of base metal   .	Italy	Kg	8896	7313	2603
83099010	PP Cap (Masalanda industry's raw matirial s  of base metal	India	Kg	4982	3637	37
83099090	Others - Stoppers, caps and lids (excl cr o n corks),a of base metal.	China	Kg	8016	10160	3513
83099090	Others - Stoppers, caps and lids (excl cr o n corks),a of base metal.	France	Kg	0	8	3
83099090	Others - Stoppers, caps and lids (excl cr o n corks),a of base metal.	India	Kg	35171	32411	11252
83099090	Others - Stoppers, caps and lids (excl cr o n corks),a of base metal.	United States	Kg	2	224	80
83100000	Sign-plates, name-plates, address-plates,   tc, of base metal (excl 9405)	China	Kg	796	256	63
83100000	Sign-plates, name-plates, address-plates,   tc, of base metal (excl 9405)	India	Kg	1774	2142	519
83100000	Sign-plates, name-plates, address-plates,   tc, of base metal (excl 9405)	Korea, Republic of	Kg	9	19	5
83100000	Sign-plates, name-plates, address-plates,   tc, of base metal (excl 9405)	United States	Kg	3	1	0
83111000	Coated electrodes of base metal, for elect  ic arc-welding	China	Kg	677246	91833	22315
83111000	Coated electrodes of base metal, for elect  ic arc-welding	India	Kg	73768	17393	3906
83112000	Cored wire of base metal, for electric arc  welding.	India	Kg	3040	1094	204
83113000	Coated rods and cored wire of base metal,   or soldering, brazing or welding by f	India	Kg	2207	409	88
